order_number,order_date,line_items,fulfillment
786002,2017-02-24,"[
  {
    ""product"": {
      ""product_name"": ""WWI 2GB Spy Video Recorder Pen M300 White"",
      ""product_price"": 181
    },
    ""quantity"": 3
  }
]",In store
799005,2017-03-09,"[
  {
    ""product"": {
      ""product_name"": ""WWI Desktop PC1.80 E1800 Black"",
      ""product_price"": 229.9
    },
    ""quantity"": 1
  }
]",In store
911003,2017-06-29,"[
  {
    ""product"": {
      ""product_name"": ""Fabrikam Microwave 0.8CuFt E0800 Silver"",
      ""product_price"": 94.99
    },
    ""quantity"": 3
  },
  {
    ""product"": {
      ""product_name"": ""Contoso Water Heater 2.6GPM E0900 Blue"",
      ""product_price"": 508
    },
    ""quantity"": 3
  }
]",In store
1020007,2017-10-16,"[
  {
    ""product"": {
      ""product_name"": ""Contoso DVD 7-Inch Player Portable E200 Silver"",
      ""product_price"": 109.99
    },
    ""quantity"": 3
  },
  {
    ""product"": {
      ""product_name"": ""MGS Hand Games for Office worker L299 Black"",
      ""product_price"": 16.89
    },
    ""quantity"": 2
  },
  {
    ""product"": {
      ""product_name"": ""Adventure Works Laptop15.4W M1548 Black"",
      ""product_price"": 758
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""Contoso Water Heater 1.5GPM E0800 White"",
      ""product_price"": 257.5
    },
    ""quantity"": 3
  }
]",In store
1023001,2017-10-19,"[
  {
    ""product"": {
      ""product_name"": ""WWI 2GB Pulse Smart pen M100 Black"",
      ""product_price"": 199.95
    },
    ""quantity"": 5
  },
  {
    ""product"": {
      ""product_name"": ""A. Datum Super-zoom Digital Camera X300 Green"",
      ""product_price"": 290
    },
    ""quantity"": 2
  }
]",Online
1032012,2017-10-28,"[
  {
    ""product"": {
      ""product_name"": ""WWI 2GB Pulse Smart pen M100 Silver"",
      ""product_price"": 199.95
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""WWI Projector 1080p LCD86 Black"",
      ""product_price"": 2295
    },
    ""quantity"": 1
  }
]",In store
1039011,2017-11-04,"[
  {
    ""product"": {
      ""product_name"": ""Contoso 16GB Mp5 Player M1600 Red"",
      ""product_price"": 199.9
    },
    ""quantity"": 1
  }
]",In store
1095040,2017-12-30,"[
  {
    ""product"": {
      ""product_name"": ""Contoso ADSL Modem Splitter/Filter X 3 E300 Black"",
      ""product_price"": 52.9
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""Proseware Color Ink Jet Fax, Copier, Phone M250 Black"",
      ""product_price"": 159
    },
    ""quantity"": 3
  }
]",In store
1112009,2018-01-16,"[
  {
    ""product"": {
      ""product_name"": ""SV DVD 9-Inch Player Portable M300 White"",
      ""product_price"": 159.99
    },
    ""quantity"": 1
  }
]",In store
1121013,2018-01-25,"[
  {
    ""product"": {
      ""product_name"": ""Contoso 16GB Mp5 Player M1600 Red"",
      ""product_price"": 199.9
    },
    ""quantity"": 1
  }
]",Online
1153005,2018-02-26,"[
  {
    ""product"": {
      ""product_name"": ""Contoso Battery charger - bike E200 White"",
      ""product_price"": 19.9
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""WWI 1GB Pulse Smart pen E50 White"",
      ""product_price"": 149.95
    },
    ""quantity"": 2
  }
]",In store
1155018,2018-02-28,"[
  {
    ""product"": {
      ""product_name"": ""NT Wireless Bluetooth Stereo Headphones M402 Green"",
      ""product_price"": 99.99
    },
    ""quantity"": 10
  }
]",In store
1231012,2018-05-15,"[
  {
    ""product"": {
      ""product_name"": ""Fabrikam Social Videographer 1/2'' 3mm E300 Black"",
      ""product_price"": 170
    },
    ""quantity"": 2
  }
]",In store
1254000,2018-06-07,"[
  {
    ""product"": {
      ""product_name"": ""Adventure Works Desktop PC1.80 ED182 White"",
      ""product_price"": 499.9
    },
    ""quantity"": 2
  },
  {
    ""product"": {
      ""product_name"": ""WWI Desktop PC2.33 X2330 Black"",
      ""product_price"": 919
    },
    ""quantity"": 3
  }
]",In store
1255008,2018-06-08,"[
  {
    ""product"": {
      ""product_name"": ""The Phone Company Touch Screen Phones 5-Wire/Built-in M500 Grey"",
      ""product_price"": 256
    },
    ""quantity"": 1
  }
]",In store
1276005,2018-06-29,"[
  {
    ""product"": {
      ""product_name"": ""The Phone Company PDA GPS Phone 4.7 inch L950 Silver"",
      ""product_price"": 368
    },
    ""quantity"": 2
  }
]",In store
1319033,2018-08-11,"[
  {
    ""product"": {
      ""product_name"": ""Fabrikam Laptop15 M5000 White"",
      ""product_price"": 699
    },
    ""quantity"": 1
  }
]",In store
1321003,2018-08-13,"[
  {
    ""product"": {
      ""product_name"": ""Adventure Works Desktop PC1.80 ED182 Brown"",
      ""product_price"": 499.9
    },
    ""quantity"": 6
  },
  {
    ""product"": {
      ""product_name"": ""Adventure Works Desktop PC2.33 XD233 Black"",
      ""product_price"": 969
    },
    ""quantity"": 3
  },
  {
    ""product"": {
      ""product_name"": ""Adventure Works Desktop PC1.80 ED180 Silver"",
      ""product_price"": 369
    },
    ""quantity"": 1
  }
]",In store
1330005,2018-08-22,"[
  {
    ""product"": {
      ""product_name"": ""Contoso 3 Handset Cordless Phone System  E30 Black"",
      ""product_price"": 16.99
    },
    ""quantity"": 9
  },
  {
    ""product"": {
      ""product_name"": ""SV DVD Player M140 Gold"",
      ""product_price"": 60.99
    },
    ""quantity"": 2
  },
  {
    ""product"": {
      ""product_name"": ""Contoso DVD 60 DVD Storage Binder L20 Silver"",
      ""product_price"": 22.89
    },
    ""quantity"": 2
  }
]",In store
1331016,2018-08-23,"[
  {
    ""product"": {
      ""product_name"": ""Contoso Primary Extended Capacity Battery Pack - notebook battery X100 Grey"",
      ""product_price"": 33.9
    },
    ""quantity"": 2
  }
]",Online
1340009,2018-09-01,"[
  {
    ""product"": {
      ""product_name"": ""Headphone Adapter for Contoso Phone E130 White"",
      ""product_price"": 9.99
    },
    ""quantity"": 8
  },
  {
    ""product"": {
      ""product_name"": ""The Phone Company Touch Screen Phones 26-1.4 M250 Black"",
      ""product_price"": 268
    },
    ""quantity"": 6
  }
]",In store
1357019,2018-09-18,"[
  {
    ""product"": {
      ""product_name"": ""Contoso 4-Line Corded Cordless Telephone M203 Black"",
      ""product_price"": 32.99
    },
    ""quantity"": 5
  }
]",Online
1371011,2018-10-02,"[
  {
    ""product"": {
      ""product_name"": ""Adventure Works Desktop PC1.80 ED182 Brown"",
      ""product_price"": 499.9
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""MGS Age of Mythology 2009 E158"",
      ""product_price"": 32
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""Contoso Water Heater 4.0GPM M1250 Blue"",
      ""product_price"": 791
    },
    ""quantity"": 3
  },
  {
    ""product"": {
      ""product_name"": ""WWI CRT17 E106 Black"",
      ""product_price"": 99
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""Adventure Works 52 LCD HDTV X790W Black"",
      ""product_price"": 1592.2
    },
    ""quantity"": 8
  },
  {
    ""product"": {
      ""product_name"": ""SV Car Video LCD7 M7002 Silver"",
      ""product_price"": 369
    },
    ""quantity"": 3
  },
  {
    ""product"": {
      ""product_name"": ""SV DVD Recorder L200 Black"",
      ""product_price"": 219
    },
    ""quantity"": 8
  }
]",In store
1374006,2018-10-05,"[
  {
    ""product"": {
      ""product_name"": ""NT Wireless Transmitter and Bluetooth Headphones M150 Blue"",
      ""product_price"": 149.99
    },
    ""quantity"": 4
  },
  {
    ""product"": {
      ""product_name"": ""Adventure Works Desktop PC1.80 ED180 Silver"",
      ""product_price"": 369
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""Contoso Private Automatic Branch Exchange M65 Black"",
      ""product_price"": 38.99
    },
    ""quantity"": 2
  },
  {
    ""product"": {
      ""product_name"": ""Adventure Works 15.6 LCD TV M130W Brown"",
      ""product_price"": 299.99
    },
    ""quantity"": 4
  }
]",In store
1388011,2018-10-19,"[
  {
    ""product"": {
      ""product_name"": ""The Phone Company PDA Wifi 3.5-inch M200 Silver"",
      ""product_price"": 280
    },
    ""quantity"": 10
  },
  {
    ""product"": {
      ""product_name"": ""NT Wireless Bluetooth Stereo Headphones M402 Purple"",
      ""product_price"": 99.99
    },
    ""quantity"": 2
  }
]",Online
1393022,2018-10-24,"[
  {
    ""product"": {
      ""product_name"": ""WWI Desktop PC2.33 X2330 White"",
      ""product_price"": 919
    },
    ""quantity"": 3
  }
]",In store
1394029,2018-10-25,"[
  {
    ""product"": {
      ""product_name"": ""SV DVD External DVD Burner M200 Black"",
      ""product_price"": 57.88
    },
    ""quantity"": 6
  },
  {
    ""product"": {
      ""product_name"": ""Fabrikam Refrigerator 1.7CuFt E1200 Green"",
      ""product_price"": 129.99
    },
    ""quantity"": 3
  }
]",Online
1410029,2018-11-10,"[
  {
    ""product"": {
      ""product_name"": ""WWI Projector 1080p DLP86 Silver"",
      ""product_price"": 2499
    },
    ""quantity"": 1
  }
]",In store
1428004,2018-11-28,"[
  {
    ""product"": {
      ""product_name"": ""SV DVD 55DVD Storage Binder M56 Black"",
      ""product_price"": 12.66
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""SV DVD 12-Inch Player Portable M400 White"",
      ""product_price"": 179.99
    },
    ""quantity"": 7
  },
  {
    ""product"": {
      ""product_name"": ""Contoso General Carrying Case E304 Blue"",
      ""product_price"": 19.99
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""Contoso Car power adapter M90 White"",
      ""product_price"": 19.95
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""WWI Wireless Transmitter and Bluetooth Headphones X250 White"",
      ""product_price"": 249.99
    },
    ""quantity"": 1
  }
]",In store
1436011,2018-12-06,"[
  {
    ""product"": {
      ""product_name"": ""Contoso Hybrid system M60 Black"",
      ""product_price"": 28.99
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""Adventure Works Laptop15.4W M1548 Red"",
      ""product_price"": 758
    },
    ""quantity"": 2
  },
  {
    ""product"": {
      ""product_name"": ""The Phone Company Microsoft Windows Mobile M200 Black"",
      ""product_price"": 229
    },
    ""quantity"": 1
  }
]",In store
1450050,2018-12-20,"[
  {
    ""product"": {
      ""product_name"": ""Reusable Phone Screen Protector E120"",
      ""product_price"": 2.94
    },
    ""quantity"": 1
  }
]",Online
1456008,2018-12-26,"[
  {
    ""product"": {
      ""product_name"": ""SV DVD 38 DVD Storage Binder E25 Black"",
      ""product_price"": 9.99
    },
    ""quantity"": 3
  },
  {
    ""product"": {
      ""product_name"": ""Contoso General Carrying Case E304 Blue"",
      ""product_price"": 19.99
    },
    ""quantity"": 6
  },
  {
    ""product"": {
      ""product_name"": ""SV DVD 7-Inch Player Portable E200 Silver"",
      ""product_price"": 109.99
    },
    ""quantity"": 3
  }
]",In store
1457067,2018-12-27,"[
  {
    ""product"": {
      ""product_name"": ""The Phone Company Touch Screen Phone 1600 TFT-2.2 L200 Black"",
      ""product_price"": 529
    },
    ""quantity"": 2
  }
]",Online
1464006,2019-01-03,"[
  {
    ""product"": {
      ""product_name"": ""SV DVD Player M130 Grey"",
      ""product_price"": 59.99
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""MGS Age of Mythology E118"",
      ""product_price"": 28
    },
    ""quantity"": 4
  }
]",Online
1470028,2019-01-09,"[
  {
    ""product"": {
      ""product_name"": ""The Phone Company Touch Screen Phones 4-Wire/ Built-in M205 Gold"",
      ""product_price"": 268
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""Contoso Screen 80in E080 White"",
      ""product_price"": 109
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""NT Bluetooth Stereo Headphones E52 Blue"",
      ""product_price"": 25.69
    },
    ""quantity"": 3
  },
  {
    ""product"": {
      ""product_name"": ""MGS King& Myths: The Age Collection M340"",
      ""product_price"": 72.45
    },
    ""quantity"": 6
  }
]",In store
1476005,2019-01-15,"[
  {
    ""product"": {
      ""product_name"": ""The Phone Company PDA Phone Unlocked 3.5 inches M530 Black"",
      ""product_price"": 268
    },
    ""quantity"": 2
  }
]",In store
1487027,2019-01-26,"[
  {
    ""product"": {
      ""product_name"": ""The Phone Company Smart phones Expert M400 Grey"",
      ""product_price"": 300
    },
    ""quantity"": 2
  },
  {
    ""product"": {
      ""product_name"": ""Fabrikam Microwave 1.0CuFt E1100 Black"",
      ""product_price"": 139.99
    },
    ""quantity"": 3
  },
  {
    ""product"": {
      ""product_name"": ""Fabrikam Refrigerator 3.2CuFt E1600 Orange"",
      ""product_price"": 279.99
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""Contoso DVD 60 DVD Storage Binder L20 Silver"",
      ""product_price"": 22.89
    },
    ""quantity"": 3
  }
]",In store
1492017,2019-01-31,"[
  {
    ""product"": {
      ""product_name"": ""The Phone Company Touch Screen Phones 4-Wire/ Built-in M205 Black"",
      ""product_price"": 268
    },
    ""quantity"": 2
  },
  {
    ""product"": {
      ""product_name"": ""MGS Gears of War 2008 M450"",
      ""product_price"": 34
    },
    ""quantity"": 4
  },
  {
    ""product"": {
      ""product_name"": ""Contoso Water Heater 4.3GPM M1250 Yellow"",
      ""product_price"": 877.5
    },
    ""quantity"": 6
  }
]",In store
1501025,2019-02-09,"[
  {
    ""product"": {
      ""product_name"": ""A. Datum SLR Camera X140 Pink"",
      ""product_price"": 627
    },
    ""quantity"": 3
  },
  {
    ""product"": {
      ""product_name"": ""Contoso DVD 60 DVD Storage Binder L20 Red"",
      ""product_price"": 22.89
    },
    ""quantity"": 2
  },
  {
    ""product"": {
      ""product_name"": ""Proseware Photo Inkjet Printer E290 Black"",
      ""product_price"": 102
    },
    ""quantity"": 4
  },
  {
    ""product"": {
      ""product_name"": ""Contoso Water Heater 4.0GPM M1250 Grey"",
      ""product_price"": 791
    },
    ""quantity"": 2
  }
]",In store
1504008,2019-02-12,"[
  {
    ""product"": {
      ""product_name"": ""The Phone Company Finger Touch Screen Phones M30 Gold"",
      ""product_price"": 199
    },
    ""quantity"": 5
  },
  {
    ""product"": {
      ""product_name"": ""NT Bluetooth Active Headphones E202 Red"",
      ""product_price"": 37.95
    },
    ""quantity"": 8
  },
  {
    ""product"": {
      ""product_name"": ""WWI Desktop PC1.80 E1801 Brown"",
      ""product_price"": 269.9
    },
    ""quantity"": 1
  }
]",In store
1519031,2019-02-27,"[
  {
    ""product"": {
      ""product_name"": ""Contoso DVD 15-Inch Player Portable L200 White"",
      ""product_price"": 289.99
    },
    ""quantity"": 1
  }
]",In store
1528014,2019-03-08,"[
  {
    ""product"": {
      ""product_name"": ""MGS Age of Empires II: The Age of Kings E126"",
      ""product_price"": 46.8
    },
    ""quantity"": 2
  },
  {
    ""product"": {
      ""product_name"": ""SV DVD 48 DVD Storage Binder M50 Silver"",
      ""product_price"": 17.99
    },
    ""quantity"": 3
  }
]",In store
1587003,2019-05-06,"[
  {
    ""product"": {
      ""product_name"": ""MGS Flight Simulator X M250"",
      ""product_price"": 70.13
    },
    ""quantity"": 1
  }
]",In store
1599043,2019-05-18,"[
  {
    ""product"": {
      ""product_name"": ""WWI LCD22W M2003 Black"",
      ""product_price"": 679
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""Adventure Works Wall Lamp E3150 Black"",
      ""product_price"": 101.99
    },
    ""quantity"": 8
  },
  {
    ""product"": {
      ""product_name"": ""WWI Floor Lamp M215 Black"",
      ""product_price"": 339
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""WWI Projector 720p DLP56 Silver"",
      ""product_price"": 999
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""Adventure Works 52 LCD HDTV X590 Silver"",
      ""product_price"": 2899.99
    },
    ""quantity"": 4
  }
]",In store
1618024,2019-06-06,"[
  {
    ""product"": {
      ""product_name"": ""Contoso Expandable 2-Handset Cordless Phone System M205 White"",
      ""product_price"": 40.19
    },
    ""quantity"": 2
  },
  {
    ""product"": {
      ""product_name"": ""The Phone Company Touch Screen Phones 4-Wire/On-wall M302 Gold"",
      ""product_price"": 289
    },
    ""quantity"": 1
  }
]",In store
1625021,2019-06-13,"[
  {
    ""product"": {
      ""product_name"": ""SV DVD 60 DVD Storage Binder L20 Black"",
      ""product_price"": 22.89
    },
    ""quantity"": 2
  },
  {
    ""product"": {
      ""product_name"": ""WWI 2GB Pulse Smart pen M100 White"",
      ""product_price"": 199.95
    },
    ""quantity"": 2
  },
  {
    ""product"": {
      ""product_name"": ""Contoso Travel Charger for S-Series Battery E302 Black"",
      ""product_price"": 59.99
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""MGS Hand Games women M400 Silver"",
      ""product_price"": 8.99
    },
    ""quantity"": 3
  }
]",In store
1634000,2019-06-22,"[
  {
    ""product"": {
      ""product_name"": ""Adventure Works 13 Color TV E25 White"",
      ""product_price"": 119.99
    },
    ""quantity"": 3
  },
  {
    ""product"": {
      ""product_name"": ""MGS Hand Games for 12-16 boys E600 Yellow"",
      ""product_price"": 4.99
    },
    ""quantity"": 2
  },
  {
    ""product"": {
      ""product_name"": ""WWI 1GB Digital Voice Recorder Pen E100 Red"",
      ""product_price"": 156
    },
    ""quantity"": 4
  }
]",In store
1639015,2019-06-27,"[
  {
    ""product"": {
      ""product_name"": ""MGS Halo 2 for Windows Vista M220"",
      ""product_price"": 70.13
    },
    ""quantity"": 7
  },
  {
    ""product"": {
      ""product_name"": ""Fabrikam Budget Moviemaker 2/3'' 17mm E100 Grey"",
      ""product_price"": 410
    },
    ""quantity"": 2
  },
  {
    ""product"": {
      ""product_name"": ""WWI 2GB Spy Video Recorder Pen M300 Purple"",
      ""product_price"": 181
    },
    ""quantity"": 3
  },
  {
    ""product"": {
      ""product_name"": ""MGS Hand Games for students E400 Silver"",
      ""product_price"": 6.99
    },
    ""quantity"": 3
  },
  {
    ""product"": {
      ""product_name"": ""Contoso Expandable 4-Handset Cordless Phone System M206 Black"",
      ""product_price"": 43.81
    },
    ""quantity"": 2
  },
  {
    ""product"": {
      ""product_name"": ""Adventure Works Desktop PC1.60 ED160 Silver"",
      ""product_price"": 269.95
    },
    ""quantity"": 8
  },
  {
    ""product"": {
      ""product_name"": ""MGS Zoo Tycoon 2 E108"",
      ""product_price"": 56
    },
    ""quantity"": 4
  }
]",In store
1657003,2019-07-15,"[
  {
    ""product"": {
      ""product_name"": ""MGS Hand Games men M300 Red"",
      ""product_price"": 6.89
    },
    ""quantity"": 3
  },
  {
    ""product"": {
      ""product_name"": ""WWI Desktop PC2.33 X2330 Silver"",
      ""product_price"": 919
    },
    ""quantity"": 6
  }
]",In store
1666019,2019-07-24,"[
  {
    ""product"": {
      ""product_name"": ""MGS Train Simulator E124"",
      ""product_price"": 50.54
    },
    ""quantity"": 1
  }
]",In store
1668015,2019-07-26,"[
  {
    ""product"": {
      ""product_name"": ""Contoso 4G MP3 Player E400 Black"",
      ""product_price"": 59.99
    },
    ""quantity"": 2
  }
]",In store
1669018,2019-07-27,"[
  {
    ""product"": {
      ""product_name"": ""Contoso Conversion Lens M550 Blue"",
      ""product_price"": 205
    },
    ""quantity"": 6
  },
  {
    ""product"": {
      ""product_name"": ""The Phone Company Touch Screen Phones - CRT M11 Grey"",
      ""product_price"": 189
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""SV DVD Player M120 White"",
      ""product_price"": 58.99
    },
    ""quantity"": 4
  }
]",In store
1680019,2019-08-07,"[
  {
    ""product"": {
      ""product_name"": ""Adventure Works 13 Color TV E25 Silver"",
      ""product_price"": 119.99
    },
    ""quantity"": 3
  }
]",In store
1701018,2019-08-28,"[
  {
    ""product"": {
      ""product_name"": ""Adventure Works 40 LCD HDTV M690 Black"",
      ""product_price"": 1184.97
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""MGS Zoo Tycoon 2: African Adventure 2008 E136"",
      ""product_price"": 43
    },
    ""quantity"": 1
  }
]",In store
1709012,2019-09-05,"[
  {
    ""product"": {
      ""product_name"": ""Contoso Phone Tough Skin Case E140 Black"",
      ""product_price"": 23.72
    },
    ""quantity"": 2
  }
]",Online
1711012,2019-09-07,"[
  {
    ""product"": {
      ""product_name"": ""Reusable Phone Screen Protector E120"",
      ""product_price"": 2.94
    },
    ""quantity"": 4
  },
  {
    ""product"": {
      ""product_name"": ""MGS Age of Empires, 2009 E182"",
      ""product_price"": 32
    },
    ""quantity"": 7
  }
]",In store
1715004,2019-09-11,"[
  {
    ""product"": {
      ""product_name"": ""SV DVD 14-Inch Player Portable L100 Silver"",
      ""product_price"": 259.99
    },
    ""quantity"": 4
  },
  {
    ""product"": {
      ""product_name"": ""Proseware Office Jet Wireless All-in-One Inkjet Printer M600 Grey"",
      ""product_price"": 190
    },
    ""quantity"": 4
  },
  {
    ""product"": {
      ""product_name"": ""MGS MechWarrior 4: Vengeance X800"",
      ""product_price"": 104.89
    },
    ""quantity"": 1
  }
]",In store
1731020,2019-09-27,"[
  {
    ""product"": {
      ""product_name"": ""MGS Kings & Myths: The Age Collection2009 E147"",
      ""product_price"": 43
    },
    ""quantity"": 6
  }
]",Online
1735000,2019-10-01,"[
  {
    ""product"": {
      ""product_name"": ""NT Wireless Transmitter and Bluetooth Headphones M150 Red"",
      ""product_price"": 149.99
    },
    ""quantity"": 2
  }
]",In store
1737027,2019-10-03,"[
  {
    ""product"": {
      ""product_name"": ""WWI Desktop PC1.80 E1800 Brown"",
      ""product_price"": 229.9
    },
    ""quantity"": 3
  },
  {
    ""product"": {
      ""product_name"": ""Contoso SLR Camera X143 Silver"",
      ""product_price"": 646
    },
    ""quantity"": 3
  },
  {
    ""product"": {
      ""product_name"": ""A. Datum Ultra Compact Digital Camera M190 Silver"",
      ""product_price"": 165
    },
    ""quantity"": 7
  }
]",In store
1739033,2019-10-05,"[
  {
    ""product"": {
      ""product_name"": ""The Phone Company PDA Palm 4.7 inch L850 Silver"",
      ""product_price"": 398
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""WWI Desktop PC1.80 E1800 White"",
      ""product_price"": 229.9
    },
    ""quantity"": 8
  },
  {
    ""product"": {
      ""product_name"": ""WWI Stereo Bluetooth Headphones New Generation M370 Orange"",
      ""product_price"": 132.99
    },
    ""quantity"": 3
  }
]",In store
1751011,2019-10-17,"[
  {
    ""product"": {
      ""product_name"": ""NT Wireless Transmitter and Bluetooth Headphones M150 Red"",
      ""product_price"": 149.99
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""MGS Freelancer E113"",
      ""product_price"": 28
    },
    ""quantity"": 2
  },
  {
    ""product"": {
      ""product_name"": ""Contoso Conversion Lens M550 Silver"",
      ""product_price"": 205
    },
    ""quantity"": 1
  }
]",In store
1753031,2019-10-19,"[
  {
    ""product"": {
      ""product_name"": ""WWI 1GBPulse Smart pen E50 Black"",
      ""product_price"": 149.95
    },
    ""quantity"": 1
  },
  {
    ""product"": {
      ""product_name"": ""Contoso DVD Player M100 Black"",
      ""product_price"": 56.99
    },
    ""quantity"": 3
  }
]",In store
1769017,2019-11-04,"[
  {
    ""product"": {
      ""product_name"": ""Adventure Works 19 Color Digital TV E35 Black"",
      ""product_price"": 143.4
    },
    ""quantity"": 4
  },
  {
    ""product"": {
      ""product_name"": ""Adventure Works Desktop PC1.60 ED160 Brown"",
      ""product_price"": 269.95
    },
    ""quantity"": 3
  }
]",In store
